City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Bourail,NC,67.64,clear sky,-21.5667,165.4833,Motel Allamanda
203,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
214,Bhalki,IN,71.24,overcast clouds,18.0333,77.2167,Siddheshwar Swamy
216,Portland,US,69.53,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
222,Vallenar,CL,71.19,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
224,Guerrero Negro,MX,74.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
231,Kalmunai,LK,78.98,few clouds,7.4167,81.8167,VS Villa
233,Tamiahua,MX,77.52,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
240,Hwange,ZW,72.23,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
242,Komatipoort,ZA,70.05,clear sky,-25.4332,31.9548,Kruger View Backpackers
243,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
244,Meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Kost Pria
247,Myitkyina,MM,72.59,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
251,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
255,Omurtag,BG,68.9,overcast clouds,43.1,26.4167,Zamak Inter Hotel
258,Mamboma,SL,73.58,overcast clouds,8.0833,-11.6833,
266,Barcelos,PT,71.92,clear sky,41.5388,-8.6151,Hotel Do Terço
267,Bogovina,RS,68.05,clear sky,43.895,21.9403,Casa Camelia
269,Naze,JP,77.92,moderate rain,28.3667,129.4833,Shishime Hotel
276,Srivardhan,IN,77.85,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
280,Miandrivazo,MG,73.29,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
285,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
288,Pemangkat,ID,77.56,light rain,1.1667,108.9667,Hotel Duyung Permai 2
289,Kirakira,SB,79.38,scattered clouds,-10.4544,161.9205,SanBiz Lodge
292,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
299,Kamaishi,JP,69.89,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
302,Dawlatabad,AF,72.27,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
304,Sechura,PE,76.37,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
305,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
310,Camacha,PT,72.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
312,Komsomolskiy,UZ,66.92,overcast clouds,40.4272,71.7189,Ikathouse
313,Jijiga,ET,66.04,scattered clouds,9.35,42.8,RAMAAS HOTEL
315,Bethel,US,74.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
317,Bandarbeyla,SO,77.81,overcast clouds,9.4942,50.8122,JABIR HOTEL
318,Bengkulu,ID,74.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
320,Namibe,AO,67.15,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
321,Kumluca,TR,79.83,clear sky,36.3703,30.2869,Akkol Apart
322,Birao,CF,70.99,broken clouds,10.2849,22.7882,
332,Jieshi,CN,79.92,clear sky,22.8134,115.8257,Yuehai Hotel
335,Vao,NC,70.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
339,Nong Kung Si,TH,79.83,overcast clouds,16.65,103.3,บ้าน พี่บิ๊ก
340,Yeppoon,AU,65.98,clear sky,-23.1333,150.7333,Villa Mar Colina
343,Lagoa,PT,72.95,light rain,39.05,-27.9833,Casa Das Faias
344,Kimbe,PG,74.77,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
345,Tezu,IN,73.51,few clouds,27.9167,96.1667,Circuit House
351,Eyl,SO,77.18,broken clouds,7.9803,49.8164,Amiin Hotel
354,Xuddur,SO,74.57,overcast clouds,4.1213,43.8894,Banjanay Hotel
355,Krugersdorp,ZA,70.21,overcast clouds,-26.0858,27.7752,Aviators Retreat B&B
356,Arica,CL,71.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
357,Nantucket,US,73.51,clear sky,41.2835,-70.0995,Jared Coffin House
358,Laguna,US,79.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
362,Tottori,JP,73.11,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
363,Cardston,CA,68.29,scattered clouds,49.2,-113.3019,Flamingo Motel
365,Sao Joao Da Barra,BR,66.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
366,Viedma,AR,71.83,overcast clouds,-40.8135,-62.9967,Hotel Cristal
377,Kendari,ID,73.2,overcast clouds,-3.945,122.4989,Hotel Wixel
380,Mitsamiouli,KM,75.18,clear sky,-11.3847,43.2844,Foyer ADM
382,Bouake,CI,71.71,thunderstorm,7.6895,-5.0218,Hotel Residence Nannan
383,Luwuk,ID,75.25,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
389,Mondlo,ZA,68.97,clear sky,-27.983,30.7177,Zungu N N
400,Kieta,PG,77.97,clear sky,-6.2167,155.6333,Uruna Bay Retreat
409,Bhatkal,IN,77.34,overcast clouds,13.9667,74.5667,Nilawar Palace Lodge
410,Poum,NC,74.19,clear sky,-20.2333,164.0167,
411,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
414,Luau,AO,76.42,overcast clouds,-10.7073,22.2247,Kimbo Hotel
416,Axim,GH,75.09,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
421,Middelburg,ZA,68.41,overcast clouds,-25.7751,29.4648,Oregon Place Guest House
422,Benghazi,LY,78.58,clear sky,32.1167,20.0667,Tibesti Hotel
424,Mongu,ZM,70.07,scattered clouds,-15.2484,23.1274,Country Lodge Mongu
425,Dhanera,IN,78.64,overcast clouds,24.5167,72.0167,પ્રહલાદભાઈ. એસ. માળી
427,Riohacha,CO,71.71,broken clouds,11.5444,-72.9072,Hotel Taroa
431,Wamba,NG,72.88,light rain,8.9333,8.6,Roma Zee Guest House Annex
434,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
435,Derbent,RU,69.57,broken clouds,42.0678,48.2899,Elit
436,Nambour,AU,69.85,overcast clouds,-26.6333,152.95,Nambour Lodge Motel
440,Peachland,CA,69.67,scattered clouds,49.7665,-119.7357,Wine Stopper B&B
442,Tadine,NC,69.98,few clouds,-21.55,167.8833,
443,Santa Maria,BR,72.7,few clouds,-29.6842,-53.8069,Hotel Morotin
445,Ajdabiya,LY,77.07,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
453,Bassila,BJ,71.83,broken clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
455,Phan Thiet,VN,78.06,light rain,10.9333,108.1,Hotel Saigon-PT
457,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
