City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Luderitz,NA,-26.6481,15.1594,62.85,74,100,13.62,overcast clouds
79,Suez,EG,29.9737,32.5263,74.98,63,0,9.53,clear sky
80,Khatanga,RU,71.9667,102.5,29.57,96,93,16.24,light snow
81,Cabo San Lucas,MX,22.8909,-109.9124,94.3,62,20,8.05,few clouds
82,Lundazi,ZM,-12.2929,33.1782,66.51,59,0,11.68,clear sky
83,Beian,NO,63.6559,9.5683,53.01,87,75,18.41,broken clouds
84,Avera,US,33.194,-82.5271,83.71,39,0,7.81,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,93,75,8.05,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,14.97,few clouds
87,Tiksi,RU,71.6872,128.8694,37.96,76,100,17.9,overcast clouds
88,Faanui,PF,-16.4833,-151.75,77.99,74,84,23.42,broken clouds
89,Caravelas,BR,-17.7125,-39.2481,76.57,71,14,6.82,few clouds
90,Stupino,RU,54.9008,38.0708,54.01,96,91,8.77,overcast clouds
91,Codrington,AU,-38.2667,141.9667,49.44,92,100,17.18,overcast clouds
92,Victoria,HK,22.2855,114.1577,87.33,75,0,3.0,clear sky
93,Port Keats,AU,-14.25,129.55,75.96,90,51,6.93,broken clouds
94,Kununurra,AU,-15.7667,128.7333,69.78,94,45,2.3,scattered clouds
95,Dingle,PH,10.9995,122.6711,74.71,93,100,6.26,overcast clouds
96,Leningradskiy,RU,69.3833,178.4167,34.63,97,100,8.63,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,64.92,55,40,5.75,scattered clouds
98,Panguna,PG,-6.3164,155.4848,66.27,94,22,2.77,few clouds
99,Heiligenhafen,DE,54.3667,10.9833,53.06,93,19,11.65,few clouds
100,Matay,EG,28.419,30.7792,79.21,31,0,7.23,clear sky
101,Sur,OM,22.5667,59.5289,89.35,53,7,10.58,clear sky
102,Drochtersen,DE,53.7102,9.3846,55.31,86,100,16.17,overcast clouds
103,Saldanha,ZA,-33.0117,17.9442,60.85,92,33,7.92,scattered clouds
104,Pokhara,NP,28.2333,83.9833,69.69,88,100,1.68,overcast clouds
105,Olinda,BR,-8.0089,-34.8553,80.33,65,20,9.22,few clouds
106,Bathsheba,BB,13.2167,-59.5167,88.41,74,40,18.41,scattered clouds
107,Clyde River,CA,70.4692,-68.5914,37.63,100,75,10.36,mist
108,Iracoubo,GF,5.4802,-53.2011,83.55,75,14,11.25,few clouds
109,Lata,PT,40.1629,-8.3327,70.92,86,6,2.15,clear sky
110,Nizhniy Kuranakh,RU,58.8353,125.4869,34.11,86,4,3.27,clear sky
111,Chapais,CA,49.7834,-74.8492,53.38,40,22,8.01,few clouds
112,Garissa,KE,-0.4536,39.6401,75.34,67,8,22.17,clear sky
